1E2KcGtzZO5v_LgrTiQl9A,Sip Cafe,0 Post Office Sq,Boston,4.0,169,1,192,372,0.34043,42.3560703332,-71.0553216934
1E_JFdI6HfEhh3T_qvO_jw,Stephanie's On Newbury,190 Newbury St,Boston,3.0,1553,1,496,2004,0.1984,42.3502421,-71.0795453
1EkC4GEqF99nf-XrJ2wzsg,Sai Gon One Restaurant,1331 Dorchester Ave,Boston,3.0,49,1,276,916,0.23154,42.3052717147,-71.0591793805
1GMBD09cMwCBIo2TZ8IAEw,Canton House,6 Hancock St,Boston,3.0,18,1,892,1876,0.32225,42.3156084,-71.065935
1GRK2j8iQXlKl-8dV0dMAg,Santacross Distinctive Shoe Serv,151 Tremont St,Boston,4.5,30,1,64,192,0.25,42.3544996,-71.0633802
1Ggpx51s15M0sHfUqj9CjA,Boston Common Hotel and Conference Center,40 Trinity Pl,Boston,2.0,60,0,64,56,0.53333,42.3485348,-71.0747546
1JHyHC_guUaVwTi3m4Vu5g,Zen Japanese Grill & Sushi Bar,21A Beacon St,Boston,4.0,302,1,592,1392,0.29839,42.358124,-71.062501
1M5yNOje8Eoz4m_CS89t9w,My Cousin's Place,396 Hanover St,Boston,4.0,89,1,116,452,0.20423,42.3659527826,-71.0529154596
1NzX_vTH_x2Q25198vI8tg,CVS Pharmacy,1927 Beacon Street,Brighton,3.0,38,1,56,84,0.4,42.3359,-71.1489
1SafxOqgeBwmooNN3c8uKg,Dorchester Pet Clinic,103 Savin Hill Ave,Boston,3.0,12,1,16,44,0.26667,42.3117961,-71.05428
1VZN-NjHWA59TtEdtumntw,Fidelity Brokerage Services,100 Summer St,Boston,2.5,10,1,156,644,0.195,42.3538104,-71.057391
1Vz5r-xxrSgx0OAnF_Ft7g,Teriyaki Joe's,174 Brighton Ave,Allston,3.5,37,0,56,64,0.46667,42.3529898,-71.1330839
1W9m6f8GXrtpzibXi0FrtQ,Sbarro,417 Washington St,Boston,1.5,6,0,168,480,0.25926,42.3558635,-71.0604975
1Wkrq7LD-mQQSIo1kismfg,Dunkin',315 Centre St,Jamaica Plain,2.5,18,1,260,304,0.46099,42.323091,-71.103837
1WnhNBZSqFKbqJL_0OSvkQ,Roslindale House of Pizza,4168 Washington St,Roslindale,3.5,45,1,276,656,0.29614,42.2878476,-71.1263907
1a2Ce7eujcAxy_EGVtYWFQ,Goodbar,183 State St,Boston,2.5,42,0,216,452,0.32335,42.359397,-71.0531573
1eLvYJrKnnudxIXi3Fhscw,Wonder Spice Cafe,697 Centre St,Jamaica Plain,3.5,193,0,480,776,0.38217,42.3117707,-71.1144993
1gE3nHuHVxOapKDWWRJy7A,Panificio,144 Charles St,Boston,3.0,300,1,344,772,0.30824,42.3598776,-71.0708957
1gx0tfmOgXVTYYts-bAPuA,Bruegger's Bagels,644 Beacon St,Boston,3.0,85,0,92,640,0.12568,42.3494364,-71.0957101
1hWZ0K2DOKZB9Xft08VZ9g,Sorellina,1 Huntington Ave,Boston,4.0,673,1,148,196,0.43023,42.3488367161,-71.0779036595
1inmqf0gEp0EblDl3EeNtA,Phu-Ket Thai Restaurant,1856 Centre St,West Roxbury,3.5,160,1,600,1004,0.37406,42.2860147,-71.1545676
1mDFr87YCXXgOZyxwmP8OQ,East Ocean Restaurant,3704 Washington St,Jamaica Plain,2.5,15,0,180,288,0.38462,42.3004123,-71.1128933
1nkjJeCNUMyYETEA6HWk5A,Tommy's Pizzeria,10 Fairmount Ave,Hyde Park,3.5,10,0,64,192,0.25,42.2557648,-71.1208532
1nyKCTu9jqgEN4jnYYe_pw,Sultana's Bakery & Cafe,1585 Commonwealth Ave,Brighton,4.5,81,1,72,92,0.43902,42.3441952,-71.1430607
1oyiw6jjof7pQrk9iQKHTg,The Creperie On Newbury,259 Newbury St,Boston,3.5,60,0,8,12,0.4,42.3494751,-71.0830638
1pXcVSMM79NB5GVkh1KmPA,Turtle Swamp Brewing,3377 Washington St,Boston,4.5,57,1,16,4,0.8,42.3090094863,-71.1053470225
1qU678xPL4CdHhdUBCGtsQ,Minina's Cafe,432 Geneva Ave,Boston,4.0,8,1,316,1056,0.23032,42.300486403,-71.0665980354
1qzVqNwoNOoDV1MzP3j4_g,Boloco Cleveland Circle,1940 Beacon St,Brighton,3.5,104,0,76,152,0.33333,42.3364295949,-71.1495723341
1rG7sdHTnosYx6xtCzmWBQ,Rebecca's Cafe & Catering,411 Brookline Ave,Boston,3.5,5,0,4,8,0.33333,42.3388919,-71.1072903
1ss2itq2vuEvb_SYKjGIvw,William's Tavern,92 A St,Boston,4.0,10,0,48,36,0.57143,42.3426277,-71.0545925
1tTteHe8JOnqN7W7fcqbKQ,Canestaro Restaurant & Pizzeria,16 Peterborough St,Boston,4.0,132,0,92,152,0.37705,42.3439774,-71.0957364
1wTNWnaTD75d2m8sYOoayA,Robyn's Bar and Grill,4195 Washington St,Roslindale,3.0,26,0,276,656,0.29614,42.287254,-71.1274572
1wsZ5Pd55PnZRhU5ZGqf0w,station KTV -  Boston,20 Hudson St,Boston,3.0,55,1,108,196,0.35526,42.350404,-71.059963
20m21Q_2_kHQxTdt8z4i4A,Liberty Diner,1003 Massachusetts Ave,Roxbury,4.5,21,1,40,68,0.37037,42.3280589,-71.0682988
25DUwcQq4ywNMivBjig2Rg,Lucca Restaurant & Bar,226 Hanover St,Boston,3.5,478,1,204,496,0.29143,42.3631864,-71.0550955
25IQNB6eiMhJFw3icat_0g,Beacon Hill Athletic Club,1686 Commonwealth Ave,Brighton,4.0,110,1,44,4,0.91667,42.341289,-71.1457461
273RUO7c-9nYNqIIVdVkjw,Stanza Dei Sigari,292 Hanover St,Boston,4.0,301,1,148,228,0.39362,42.3641854,-71.054466
281rgO7YXyxbJUo78WXUaw,Los Bendecidos,264 Hyde Park Ave,Jamaica Plain,4.5,8,0,128,204,0.38554,42.2924737,-71.1176391
2C0Uzk2S2BzTxwaFD6wWXA,Rite Aid,1100 Dorchester Ave,Dorchester,3.0,17,0,72,124,0.36735,42.3131595684,-71.0565045476
2CIpOYdck5y9dUQEj8oyAQ,Jade Monkey,1952 Beacon St,Boston,3.5,44,0,8,32,0.2,42.3361676849,-71.1502428104
2F5L_0MZSPp5egi_yY0-yA,Haley House Bakery Café,12 Dade St,Roxbury,4.5,223,1,212,1392,0.13217,42.3320572,-71.0825309
2FPqfGIfBcpk5uRjb61e3w,Taco Mex,65 Maverick Sq,Boston,3.5,110,1,428,636,0.40226,42.3695905,-71.038657
2FVAE2bmhl_3oZQ_gRHkiA,Villa Sombrero Cafe,554 Dudley St,Dorchester,2.0,5,1,240,1960,0.10909,42.321299,-71.071954
2Gx-ttuhsFvNkI5p2Cu6rw,Peregrine,170 Charles St,Boston,3.5,29,1,36,32,0.52941,42.360636,-71.07123
2J4aPwxmJ64pD_cDKbpMRw,Ocean Wealth,8 Tyler St,Boston,3.0,19,0,12,152,0.07317,42.3510452,-71.0604556
2OATZEXoq74_D99-3UL3xw,Insomnia Cookies,708 Commonwealth Ave,Boston,3.0,165,1,84,104,0.44681,42.349475,-71.105418
2O_KVXfW7CtYsmSHxA4Hew,Juicygreens,61 South St,Boston,4.0,66,1,64,96,0.4,42.307693,-71.115817
2OkM6RT7vqCPuzuP3rvOfA,Mana Escondido Café,68 Aguadilla St,Boston,4.5,91,1,184,348,0.34586,42.341303,-71.07573
2P6tW6QHwHZigT9GDFGUtw,The Real Deal,1936 Beacon St,Brighton,3.0,110,0,52,56,0.48148,42.3363202437,-71.1499241841
2QYu6oKnOl0dopMC3nGsQQ,Rinconcito Salvadoreno,313 Meridian St,Boston,4.0,5,1,228,328,0.41007,42.3774761,-71.0389936
2dLtQKsWeA2NsgmUbHG1zw,Howl at the Moon Boston,184 High St,Boston,3.0,391,1,204,236,0.46364,42.3565569,-71.0523694
2euT7ZfMLq4KH2t7BUJwgw,Boston Ramrod,1254 Boylston St,Boston,3.0,17,0,4,0,1.0,42.3448775,-71.0957999
2fj72F9AjWfRf6QogOMt0A,Don Ricardo's Restaurant,57 W Dedham St,Boston,4.0,57,0,16,20,0.44444,42.342043,-71.07292
2gfCQNoewPjyEFh-5aTMgg,Piadina Cafe & Coffee Bar,75 State St,Boston,3.5,45,0,92,176,0.34328,42.358897,-71.055322
2lkihWmfb7TsAi9kbYnRbA,Roslindale Market,4140 Washington St,Roslindale,4.0,6,1,276,656,0.29614,42.288503,-71.1257748
